date,status,price,buy_conf,sell_conf,buy_action,current_return,sell_action
2023-09-07,holding,16619.14,,0.9999938011169434,,0.9740783288592963,HOLD
2023-09-08,holding,16576.02,,0.9999938011169434,,0.9715509864372208,HOLD
2023-09-11,holding,16432.95,,0.9999938011169434,,0.9631653908823425,HOLD
2023-09-12,holding,16572.71,,0.9999938011169434,,0.9713569812559343,HOLD
2023-09-13,holding,16581.51,,0.9999938011169434,,0.9718727654237048,HOLD
2023-09-14,holding,16807.56,,0.9999938011169434,,0.9851219712333102,HOLD
2023-09-15,holding,16920.92,,0.9999938011169434,,0.9917662091035904,HOLD
2023-09-18,holding,16698.24,,0.9999938011169434,,0.9787145251855065,HOLD
2023-09-19,holding,16636.32,,0.9999938011169434,,0.9750852802231937,HOLD
2023-09-20,holding,16534.75,,0.9999938011169434,,0.9691320759140515,HOLD
2023-09-21,holding,16316.67,,0.9999938011169434,,0.9563500064473021,HOLD
2023-09-22,holding,16344.48,,0.9999938011169434,,0.9579800016411313,HOLD
2023-09-25,holding,16452.23,,0.9999938011169434,,0.9642954271044579,HOLD
2023-09-26,holding,16276.07,,0.9999938011169434,,0.953970365855088,HOLD
2023-09-27,holding,16310.36,,0.9999938011169434,,0.9559801657542757,HOLD
2023-09-28,holding,16353.74,,0.9999938011169434,,0.9585227472540353,HOLD
2023-10-02,holding,16557.31,,0.9999938011169434,,0.970454358962336,HOLD
2023-10-03,holding,16454.34,,0.9999938011169434,,0.9644190980810484,HOLD
2023-10-04,holding,16273.38,,0.9999938011169434,,0.9538127000128944,HOLD
2023-10-05,holding,16453.52,,0.9999938011169434,,0.9643710363745062,HOLD
2023-10-06,holding,16520.57,,0.9999938011169434,,0.968300960061894,HOLD
2023-10-11,holding,16672.03,,0.9999938011169434,,0.9771783089312716,HOLD
2023-10-12,holding,16825.91,,0.9999938011169434,,0.9861974984467862,HOLD
2023-10-13,holding,16782.57,,0.9999938011169434,,0.9836572614205163,HOLD
2023-10-16,holding,16652.24,,0.9999938011169434,,0.9760183806721605,HOLD
2023-10-17,holding,16642.55,,0.9999938011169434,,0.9754504319692404,HOLD
2023-10-18,holding,16440.91,,0.9999938011169434,,0.9636319411068258,HOLD
2023-10-19,holding,16452.73,,0.9999938011169434,,0.9643247330230812,HOLD
2023-10-20,holding,16440.72,,0.9999938011169434,,0.963620804857749,HOLD
2023-10-23,holding,16251.36,,0.9999938011169434,,0.9525220673567233,HOLD
2023-10-24,holding,16309.76,,0.9999938011169434,,0.9559449986519277,HOLD
2023-10-25,holding,16358.89,,0.9999938011169434,,0.9588245982158555,HOLD
2023-10-26,holding,16073.74,,0.9999938011169434,,0.9421114328249732,HOLD
2023-10-27,holding,16134.61,,0.9999938011169434,,0.9456791353581769,HOLD
2023-10-30,holding,16149.68,,0.9999938011169434,,0.9465624157454839,HOLD
2023-10-31,holding,16001.27,,0.9999938011169434,,0.9378638329797085,HOLD
2023-11-01,holding,16038.56,,0.9999938011169434,,0.9400494683906361,HOLD
2023-11-02,holding,16396.95,,0.9999938011169434,,0.9610553647414631,HOLD
2023-11-03,holding,16507.65,,0.9999938011169434,,0.9675436951246674,HOLD
2023-11-06,holding,16649.36,,0.9999938011169434,,0.9758495785808902,HOLD
2023-11-07,holding,16684.95,,0.9999938011169434,,0.9779355738684984,HOLD
2023-11-08,holding,16740.83,,0.9999938011169434,,0.9812108033338414,HOLD
2023-11-09,holding,16745.65,,0.9999938011169434,,0.9814933123893702,HOLD
2023-11-10,holding,16682.67,,0.9999938011169434,,0.9778019388795759,HOLD
2023-11-13,holding,16839.29,,0.9999938011169434,,0.9869817248291465,HOLD
2023-11-14,holding,16915.71,,0.9999938011169434,,0.9914608414315353,HOLD
2023-11-15,holding,17128.78,,0.9999938011169434,,1.0039492655936793,HOLD
2023-11-16,holding,17171.18,,0.9999938011169434,,1.0064344074929372,HOLD
2023-11-17,holding,17208.95,,0.9999938011169434,,1.0086481765857431,HOLD
2023-11-20,holding,17210.47,,0.9999938011169434,,1.008737266578358,HOLD
2023-11-21,holding,17416.7,,0.9999938011169434,,1.020824785773735,HOLD
2023-11-22,holding,17310.26,,0.9999938011169434,,1.0145861418172013,HOLD
2023-11-23,holding,17294.55,,0.9999938011169434,,1.0136653498540564,HOLD
